"","Item","Team 10101Edutronic","Team 10102Ecotech Team 1202","Team 10103BeSmart","Team 10104Sonix","Team 10105TechTastic","Team 10106EduConnected","Team 10107Green Connection","Team 10108Team 1208","Team 10109FirstFuture","Team 10110 MD","Team 10111GeishaTech","Team 10112IGL","Team 10113Suture to Future","Team 10114BuzzNet","Team 10115Circle","Team 10116Happy Laps","Team 10117Green Wire","Team 10118YGTech","Team 10119Terra","Team 10120GreenTech","Team 10121PBS Laptops"
"290","BIZZBOOK_AZIE_MONITOR_KWALITEIT","4","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5"
"291","BIZZBOOK_AZIE_VOEDING_KWALITEIT","4","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"292","BIZZBOOK_AZIE_BEHUIZING_KWALITEIT","4","3","3","4","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"293","NETBOOK_EUROPA_PROCESSOR_KWALITEIT","3","3","3","4","3","3","3","3","3","3","3","4","3","5","3","3","3","4","3","3","4"
"294","NETBOOK_EUROPA_MOEDERBORD_KWALITEIT","3","3","3","4","3","3","3","3","3","3","3","4","3","5","3","3","3","4","3","3","4"
"295","NETBOOK_EUROPA_GEHEUGEN_KWALITEIT","3","3","3","4","3","3","3","3","3","3","3","4","3","5","3","3","3","4","3","3","4"
"296","NETBOOK_EUROPA_HARDDISK_KWALITEIT","3","3","3","4","3","3","3","3","3","3","3","4","3","5","3","3","3","4","3","4","3"
"297","NETBOOK_EUROPA_VIDEOKAART_KWALITEIT","3","3","3","4","3","3","3","3","3","3","3","4","3","5","3","3","3","4","3","4","3"
"298","NETBOOK_EUROPA_MONITOR_KWALITEIT","3","3","3","4","3","3","3","3","3","3","3","4","3","5","3","3","3","4","3","3","5"
"299","NETBOOK_EUROPA_VOEDING_KWALITEIT","3","3","3","4","3","3","3","3","3","3","3","4","3","5","3","3","3","4","3","4","3"
"300","NETBOOK_EUROPA_BEHUIZING_KWALITEIT","3","3","3","4","3","3","3","3","3","3","3","4","3","5","3","3","3","4","3","3","3"
